chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000000_y000768_x000512,6.7347562100039795,97,138,-41,0.6603121665830548,0.4928850961487748,70,27,68,0.7216494845360825,0.5072463768115942,0.5957446808510638,0.4037357268394206,0.24052341173412292,23,74,115,0.23711340206185566,0.16666666666666666,0.1957446808510638,0.6082401173344496,0.11905976764844545
chunk_z5_y55_x5000_z000000_y000768_x000640,6.467749839066528,104,133,-29,0.7442874408412682,0.5927211887885439,79,25,54,0.7596153846153846,0.5939849624060151,0.6666666666666666,0.48985141813595556,0.326567612090637,43,61,90,0.41346153846153844,0.3233082706766917,0.36286919831223624,0.625190451567327,0.2268623579527009
chunk_z5_y55_x5000_z000000_y000768_x000768,6.416513570933603,108,154,-46,0.7509498431802535,0.6012167238281888,81,27,73,0.75,0.525974025974026,0.6183206106870229,0.5283541658791031,0.3266922705053996,54,54,100,0.5,0.35064935064935066,0.4122137404580153,0.6467210890271002,0.2665873191409421
chunk_z5_y55_x5000_z000000_y000768_x000896,6.4595596549334005,109,140,-31,0.7022849983924078,0.5411704399829133,74,35,66,0.6788990825688074,0.5285714285714286,0.5943775100401607,0.4647057107079458,0.27621062323203205,35,74,105,0.3211009174311927,0.25,0.28112449799196787,0.6350279826394077,0.17852192283035562
chunk_z5_y55_x5000_z000000_y000768_x001024,6.469757033977658,97,130,-33,0.774147949624078,0.6315182565356695,83,14,47,0.8556701030927835,0.6384615384615384,0.7312775330396475,0.5592269380010585,0.40895009563073004,58,39,72,0.5979381443298969,0.4461538461538462,0.5110132158590308,0.6510129227050874,0.33267620719731333
chunk_z5_y55_x5000_z000000_y000768_x001152,6.377357403980568,96,130,-34,0.799575913004857,0.6660778650371184,74,22,56,0.7708333333333334,0.5692307692307692,0.6548672566371682,0.557815440256876,0.3652950670708745,46,50,84,0.4791666666666667,0.35384615384615387,0.40707964601769914,0.6741923240402838,0.2744499726181686
chunk_z5_y55_x5000_z000000_y000896_x000000,6.344210630981252,11,118,-107,0.057019684398893766,0.02934650646795328,7,4,111,0.6363636363636364,0.059322033898305086,0.10852713178294575,0.09937822599293755,0.010785233828690897,0,11,118,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000000_y000896_x000128,6.369646164006554,45,137,-92,0.3170612084750196,0.18839734996405744,26,19,111,0.5777777777777777,0.1897810218978102,0.2857142857142857,0.21137992958119156,0.06039426559462616,2,43,135,0.044444444444444446,0.014598540145985401,0.021978021978021976,0.5171988442131038,0.01136700756512316
chunk_z5_y55_x5000_z000000_y000896_x000256,6.359841238008812,48,117,-69,0.30433721710486183,0.17947979997841493,29,19,88,0.6041666666666666,0.24786324786324787,0.3515151515151515,0.19300829049704915,0.06784533847775061,1,47,116,0.020833333333333332,0.008547008547008548,0.012121212121212121,0.5849430411094602,0.007090218680114668
chunk_z5_y55_x5000_z000000_y000896_x000384,6.35576940595638,35,125,-90,0.1842170774209609,0.10145324924595558,20,15,105,0.5714285714285714,0.16,0.25,0.14715233313869946,0.036788083284674866,0,35,125,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000000_y000896_x000512,6.409405853017233,70,143,-73,0.4648254191387758,0.30278342602442737,41,29,102,0.5857142857142857,0.2867132867132867,0.38497652582159625,0.29716799776284514,0.11440270336410001,8,62,135,0.11428571428571428,0.055944055944055944,0.07511737089201878,0.6173750254669543,0.04637558876747075
chunk_z5_y55_x5000_z000000_y000896_x000640,6.3514238690258935,71,123,-52,0.5376839826839827,0.3676934235261031,50,21,73,0.704225352112676,0.4065040650406504,0.5154639175257731,0.34711576167644526,0.1789256503486831,9,62,114,0.1267605633802817,0.07317073170731707,0.09278350515463916,0.6101690994807449,0.05661362778687325
